39 44
3 39
100 50
0 0 true
0 1 true
0 2 true
0 3 true
0 4 true
0 5 true
0 6 true
0 7 true
0 8 true
0 9 false
0 10 true
0 11 true
0 12 true
0 13 true
0 14 true
0 15 true
0 16 true
0 17 true
0 18 true
0 19 true
0 20 true
0 21 true
0 22 true
0 23 true
0 24 true
0 25 true
0 26 true
0 27 true
0 28 true
0 29 true
0 30 true
0 31 true
0 32 true
0 33 true
0 34 true
0 35 true
0 36 true
0 37 true
0 38 true
0 39 true
0 40 true
0 41 true
0 42 true
0 43 true
0 44 true
0 45 true
0 46 true
0 47 true
0 48 true
0 49 true
1 0 true
1 1 true
1 2 true
1 3 true
1 4 true
1 5 true
1 6 true
1 7 true
1 8 false
1 9 true
1 10 true
1 11 true
1 12 true
1 13 true
1 14 true
1 15 true
1 16 true
1 17 true
1 18 true
1 19 true
1 20 true
1 21 true
1 22 false
1 23 false
1 24 true
1 25 true
1 26 true
1 27 true
1 28 true
1 29 true
1 30 true
1 31 true
1 32 true
1 33 true
1 34 true
1 35 true
1 36 true
1 37 true
1 38 true
1 39 true
1 40 false
1 41 true
1 42 true
1 43 true
1 44 true
1 45 true
1 46 false
1 47 true
1 48 false
1 49 true
2 0 true
2 1 true
2 2 true
2 3 true
2 4 true
2 5 true
2 6 true
2 7 true
2 8 true
2 9 true
2 10 true
2 11 true
2 12 true
2 13 true
2 14 true
2 15 true
2 16 true
2 17 true
2 18 true
2 19 true
2 20 true
2 21 true
2 22 true
2 23 true
2 24 true
2 25 true
2 26 false
2 27 true
2 28 true
2 29 true
2 30 true
2 31 false
2 32 true
2 33 true
2 34 true
2 35 true
2 36 true
2 37 true
2 38 true
2 39 true
2 40 true
2 41 true
2 42 true
2 43 true
2 44 true
2 45 true
2 46 true
2 47 true
2 48 true
2 49 true
3 0 true
3 1 true
3 2 true
3 3 true
3 4 true
3 5 true
3 6 false
3 7 true
3 8 true
3 9 true
3 10 true
3 11 true
3 12 true
3 13 true
3 14 true
3 15 true
3 16 true
3 17 true
3 18 true
3 19 true
3 20 false
3 21 true
3 22 false
3 23 true
3 24 true
3 25 true
3 26 true
3 27 true
3 28 true
3 29 true
3 30 true
3 31 true
3 32 true
3 33 true
3 34 true
3 35 true
3 36 true
3 37 true
3 38 true
3 39 false
3 40 true
3 41 true
3 42 true
3 43 true
3 44 true
3 45 true
3 46 true
3 47 true
3 48 true
3 49 true
4 0 true
4 1 true
4 2 true
4 3 true
4 4 true
4 5 true
4 6 true
4 7 true
4 8 true
4 9 true
4 10 true
4 11 true
4 12 true
4 13 true
4 14 false
4 15 false
4 16 true
4 17 true
4 18 true
4 19 true
4 20 true
4 21 true
4 22 true
4 23 true
4 24 true
4 25 false
4 26 true
4 27 true
4 28 true
4 29 false
4 30 true
4 31 true
4 32 true
4 33 true
4 34 true
4 35 false
4 36 true
4 37 true
4 38 true
4 39 true
4 40 true
4 41 false
4 42 true
4 43 true
4 44 true
4 45 true
4 46 true
4 47 true
4 48 true
4 49 true
5 0 true
5 1 true
5 2 true
5 3 true
5 4 false
5 5 true
5 6 false
5 7 true
5 8 true
5 9 false
5 10 true
5 11 true
5 12 true
5 13 true
5 14 true
5 15 true
5 16 true
5 17 true
5 18 true
5 19 false
5 20 false
5 21 true
5 22 true
5 23 true
5 24 true
5 25 true
5 26 true
5 27 true
5 28 true
5 29 true
5 30 true
5 31 true
5 32 true
5 33 false
5 34 true
5 35 true
5 36 true
5 37 true
5 38 true
5 39 true
5 40 true
5 41 true
5 42 true
5 43 true
5 44 true
5 45 true
5 46 true
5 47 true
5 48 true
5 49 true
6 0 true
6 1 true
6 2 true
6 3 true
6 4 true
6 5 true
6 6 true
6 7 true
6 8 true
6 9 true
6 10 true
